db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n436861,Pomocník - Robert Walser,0,0,2006,179,,beletrie,Robert Walser,české,Román Pomocník vznikl na základě skutečné události. Robert Walser (1878-1956) prožil od července do prosince 1903 jako asistent u poněkud dobrodružného vynálezce Toblera ve...,182,214,"['beletrie', '', 'Robert Walser, české']"
n436705,Chrámový tygr - Corbett Jim,98,3,2006,229,,beletrie,Jim Corbett,české,"Dnes už v anglofonní oblasti klasické dílo lovecké, memoárové a přírodovědné literatury. Jim Corbett byl nejlepším lovcem lidožravých šelem v Indii v období 1907-1939 a kniha...",130,206,"['beletrie', '', 'Jim Corbett, české']"
n13438103,True spy stories zrcadlový text,100,1,2006,208,Infoa,slovníky,Fergus Fleming,anglické,"Zrcadlový text vám přináší napínavý příběh jak v českém tak anglickém jazyce na levé straně knihy je původní text, na pravé jeho překlad do češtiny. Ideální čtení nejen na...",116,199,"['slovníky', '', 'Infoa, Paul Doswell, Fergus Fleming, anglické']"
n23429638,Ledové stopy zapomnění,0,0,2006,216,,beletrie,Monika Plocová,české,"Autorka, psychoterapeuta Monika Plocová, přichází s již druhou knihou v pořadí. Ve své první knize Na špičce ledovce vypráví o vlastní trnité cestě k abstinenci.
V této nové...",140,229,"['beletrie', '', 'Monika Plocová, české']"
n364510,Bestseller Doseděl Svatopluk,0,0,2006,177,Seqoy,sci-fi a fantasy,Svatopluk Doseděl,české,Ve Skalistých horách v centrální části amerického Colorada umírají za záhadných okolností lidé. Nezřídka dost krvavým způsobem. První obětí šestiprstého zabijáka se stává...,99,99,"['sci-fi a fantasy', '', 'Seqoy, Svatopluk Doseděl, české']"
n436542,Majsebuch 2. aneb Kniha jidiš legend a příběhů -- jak ji roku 5362/1602 vydal v Basileji Jaakov bar Avraham - Jaakov bar Avraham,0,0,2006,184,,beletrie,Jaakov bar Avraham,české,"Majsebuch 2. aneb Kniha jidiš legend a příběhů kniha od autora Jaakov bar Avraham. Druhá část Majsebuchu, vrcholného díla dobového vypravěčského umění v jazyce jidiš, obsahuje...",139,236,"['beletrie', '', 'Jaakov bar Avraham, české']"
n436546,Moře v čase zatmění slunce - Dolenc Mate,0,0,2006,236,Dauphin,beletrie,Mate Dolenc,české,"Kniha Moře v čase zatmění slunce je vlastně Stařec a moře na Jadranu, můžete v ní však také objevit co se stane, když moc čtete anebo a především je poctou všem vypravěčům,...",167,214,"['beletrie', '', 'Dauphin, Mate Dolenc, české']"
n42223587,Kdo zachránil jeden život,100,1,2006,200,Motto,beletrie,Ilona Borská,české,"Životopisný román o MUDr. Františku Hamzovi, zakladateli dětské léčebny v Luži-Košumberku, který právě zde zachránil stovky dětí před tuberkulózou Prof. MUDr. František Hamza,...",76,197,"['beletrie', '', 'Motto, Ilona Borská, české']"
n455312372,Perlička na dně - Hrabal Bohumil,0,0,2006,192,Mladá fronta,beletrie,Hrabal Bohumil,české,"Kniha povídek, slavná literární prvotina autora, jehož poetika staví na rozhovoru, zvláště na hospodské rozprávce. Prostí lidé, na první pohled nijak zajímaví, vyprávějí své...",149,229,"['beletrie', '', 'Mladá fronta, Hrabal Bohumil, české']"
n459928354,Šabach Petr - Občanský průkaz,95,2,2006,180,Paseka,beletrie,Petr Šabach,české,"Autor v hrůze vzpomíná na léta, kdy se i cesta s odpadky do popelnice před dům, bez občanského průkazu mohla stát osudovou. Volně inspirován Stendhalem dělí policisty, kteří...",155,268,"['beletrie', '', 'Paseka, Petr Šabach, české']"
n51138196,Alenka z planety Země,88,3,2006,216,Triton,sci-fi a fantasy,Kir Bulyčov,české,Alenka z planety Země kniha od autora Kir Bulyčov. Alenčin tatínek je ředitelem moskevské zoologické zahrady na konci 21. století. A protože Alenka je děvčátko neobyčejně...,191,239,"['sci-fi a fantasy', '', 'Triton, Kir Bulyčov, české']"
n376332,Třetí přání 3 (splněno) - Fulghum Robert,83,7,2006,216,Argo,beletrie,Robert Fulghum,české,"Přání se mají plnit, a také do třetice všeho dobrého a zlého, či třikrát a dost. Toho všeho si je dobře vědom populární americký autor Robert Fulghum. Ve třetím svazku jeho...",139,198,"['beletrie', '', 'Argo, Robert Fulghum, české']"
n539619,"Kojot a oposum a jiné mexické pohádky, El coyote y el tlacuache y otros cuentos -- Mírně pokročilí - Oldřich Kašpar",93,0,2006,202,Garamond,beletrie,Oldřich Kašpar,české,Dvojjazyčná kniha - česko-španělské vydání pro mírně pokročilé. El coyote y el tlacuache y otros cuentos mexicanos.   Příběhy a bajky vycházející ze starých aztéckých mýtů a...,131,170,"['beletrie', '', 'Garamond, Oldřich Kašpar, české']"
n45075163,The Sea - John Banville,0,0,2006,200,,beletrie,John Banville,anglické,"Incandescent prose. Beautifully textured characterisation. Transparent narratives. The adjectives to describe the writing of John Banville are all affirmative, and The Sea is a...",213,272,"['beletrie', '', 'John Banville, anglické']"
n459928770,Othello,0,0,2006,170,Atlantis,beletrie,William Shakespeare,české,"Jako druhý svazek souborného díla Williama Shakespeara v překladu Martina Hilského vychází slavná tragédie Othello. V Poznámce překladatele Martin Hilský píše: 
""Děj Othella...",136,185,"['beletrie', '', 'Atlantis, William Shakespeare, české']"
n362853795,Dlouhé noci Vikingů,100,1,2006,208,Olympia,beletrie,Zdeněk Šmíd,české,"Úhledné statky pod zelenými duby, tichá městečka, okna svítí do dlouhé noci a snáší se na ně sníh jako v pohádce od Andersena. Smolná vůně švédských lesů, stesk laponské tundry...",118,199,"['beletrie', '', 'Olympia, Zdeněk Šmíd, české']"
n149664943,Musím jít dál,0,0,2006,208,Cesta,cestopisy,František Lízna,české,"Kniha je autentickým souhrnem deníkových záznamů známého českého jezuity, který se věnuje zejména péči o lidi na okraji společnosti (vězňové, Romové, bezdomovci)....",148,188,"['cestopisy', '', 'Cesta, František Lízna, české']"
n455347625,Shledání v Barsaloi - Hofmannová Corinne,0,0,2006,176,Ikar,beletrie,Corinne Hofmann,české,"Uplynulo již čtrnáct let od doby, kdy Corinne i se svou jedenapůlletou dcerkou Napirai utekla z Keni zpátky do Švýcarska. Ve své rodné vlasti si znovu vydobyla odpovídající...",182,229,"['beletrie', '', 'Ikar, Corinne Hofmann, české']"
n20188830,Negart Group 12: Ztracená říše - Václav Kroc,0,0,2006,176,,beletrie,Václav Kroc,české,"Démoni vládnou říši, která dříve patřila trpaslíkům. Jen pořádné vojsko je může vyhnat. Jen pořádný vůdce se jim může postavit. Budeš to ty?

Jsi potomek dávných trpasličích...",109,139,"['beletrie', '', 'Václav Kroc, české']"
n298439849,Silmámilion - Roberts A.R.R.R.,0,0,2006,208,Mladá fronta,sci-fi a fantasy,A.R.R.R. Roberts,české,"Bylo nebylo, ale ze všeho nejspíš bilo. Bilo se na bicí při Velkém nářezu, při kterém Pán všech Věcí Erár stvořil zemi N' Azdar a poté drahokam Silmámil, jenž má ozařovat svět...",142,199,"['sci-fi a fantasy', '', 'Mladá fronta, A.R.R.R. Roberts, české']"
n519929839,"HARTL Roman, HOŇKOVÁ Iva - Vodnické pověsti",0,0,2006,172,Roman Hartl,beletrie,Iva Hoňková,české,"Vítejte u knihy pověstí o vodnících, rusalkách a dalších vodních bytostech z českých, moravských a slezských řek, jezer, rybníků, potoků a tůní. Autoři vybrali a převyprávěli...",141,189,"['beletrie', '', 'Roman Hartl, Iva Hoňková, české']"
n45145359,O blízkosti - Erich Mistrík,0,0,2006,176,,beletrie,Erich Mistrík,slovenské,"Zbierka Mistríkových esejí je súborom filozofických meditácií, ale zároveň aj akousi poéziou v próze. Táto žánrovo veľmi osobitá kniha – azda aj práve preto – je aktuálnou...",159,159,"['beletrie', '', 'Erich Mistrík, slovenské']"
n196111048,Tanec modrých andělů - Steve Loveček-Lichtag,0,0,2006,207,Jota,cestopisy,Steve Loveček-Lichtag,české,"Kdyby tahle knížka byla bigbít, bude vám drnčet v přehrávačích na jeden zátah. Steve Lichtag má ve zvyku vzít první nástroj a rozjet to na pódiu na plný pecky až do úplného...",263,263,"['cestopisy', '', 'Jota, Steve Loveček-Lichtag, české']"
n455349193,Jak přežít padouchy - Kuras Benjamin,0,0,2006,230,Eminent,beletrie,Benjamin Kuras,české,"Studie hluboce filozofická, ale ironicky humorně laděná se věnuje všudypřítomnému fenoménu v dějinách lidstva - padoušství. Padouši byli, jsou a budou - v totalitách i...",142,209,"['beletrie', '', 'Eminent, Benjamin Kuras, české']"
n377148,Grandhotel - Rudiš Jaroslav,98,0,2006,176,Labyrint,beletrie,Jaroslav Rudiš,české,"Hlavní postavou románu nad mraky je třicetiletý samotář Fleischman. V životě se mu nedaří. Nikdy nic nedokázal. Nikde nebyl. Neměl žádnou holku. Ale rozumí mrakům, tlakovým...",186,231,"['beletrie', '', 'Labyrint, Jaroslav Rudiš, české']"
n59909910,Boží člověk Issa - Kobajaši Issa,0,0,2006,180,DharmaGaia,poezie,Kobajaši Issa,české,"Boží člověk Issa kniha od autora Kobajaši Issa. Rozsáhlý výbor z díla jednoho z nejlepších japonských básníků, ""božího člověka"" Kobajašiho Issy (1763-1827), jehož tvorbu zná...",223,236,"['poezie', '', 'DharmaGaia, Kobajaši Issa, české']"
n435967,Král Richard III. / King Richard III - William Shakespeare,100,1,2006,238,,beletrie,Shakespeare William,české,"Kniha Král Richard III. / King Richard III, Autor Shakespeare William, Anotace: Král Richard III. / King Richard III 
Dávný a přitom stále aktuální příběh o žízni po moci....",156,238,"['beletrie', '', 'Shakespeare William, české']"
n436192,Řezárna - Welshová Louise,80,0,2006,238,Argo,beletrie,Welshová Louise,české,"Autorka, Skotka žijící v Glasgow, se mnoho let zabývala obchodem s antikvárními knihami, odkud čerpala i námět pro svou veleúspěšnou prvotinu. Její ústřední postavou je Rilke,...",147,178,"['beletrie', '', 'Argo, Welshová Louise, české']"
n464172122,"Staré řecké báje a pověsti - Eduard Petiška, Václav Fiala",97,1,2006,192,Ottovo nakladatelstvo,beletrie,Eduard Petiška,české,"Dávné řecké báje a pověsti zrodila lidová fantazie starověkých řeků v době, kdy lidé jesště neznali ani železný pluh. Vytvořil je génius slavného národa helénů a obstály ve...",199,199,"['beletrie', '', 'Ottovo nakladatelstvo, Eduard Petiška, české']"
n43012010,Síť světla,0,0,2006,182,,beletrie,Helena Pejšová,české,"Povídání o rodném kraji, duchovním hledání a nalézání. Kniha je psaná formou humorně laděných krátkých příběhů středoškolské profesorky. Na situacích z dětství, manželství i na...",151,200,"['beletrie', '', 'Helena Pejšová, české']"
n436861,Pomocník - Robert Walser,0,0,2006,179,,beletrie,Robert Walser,české,Román Pomocník vznikl na základě skutečné události. Robert Walser (1878-1956) prožil od července do prosince 1903 jako asistent u poněkud dobrodružného vynálezce Toblera ve...,182,214,"['beletrie', '', 'Robert Walser, české']"
n436705,Chrámový tygr - Corbett Jim,98,3,2006,229,,beletrie,Jim Corbett,české,"Dnes už v anglofonní oblasti klasické dílo lovecké, memoárové a přírodovědné literatury. Jim Corbett byl nejlepším lovcem lidožravých šelem v Indii v období 1907-1939 a kniha...",130,206,"['beletrie', '', 'Jim Corbett, české']"
n13438103,True spy stories zrcadlový text,100,1,2006,208,Infoa,slovníky,Fergus Fleming,anglické,"Zrcadlový text vám přináší napínavý příběh jak v českém tak anglickém jazyce na levé straně knihy je původní text, na pravé jeho překlad do češtiny. Ideální čtení nejen na...",116,199,"['slovníky', '', 'Infoa, Paul Doswell, Fergus Fleming, anglické']"
n23429638,Ledové stopy zapomnění,0,0,2006,216,,beletrie,Monika Plocová,české,"Autorka, psychoterapeuta Monika Plocová, přichází s již druhou knihou v pořadí. Ve své první knize Na špičce ledovce vypráví o vlastní trnité cestě k abstinenci.
V této nové...",140,229,"['beletrie', '', 'Monika Plocová, české']"
n364510,Bestseller Doseděl Svatopluk,0,0,2006,177,Seqoy,sci-fi a fantasy,Svatopluk Doseděl,české,Ve Skalistých horách v centrální části amerického Colorada umírají za záhadných okolností lidé. Nezřídka dost krvavým způsobem. První obětí šestiprstého zabijáka se stává...,99,99,"['sci-fi a fantasy', '', 'Seqoy, Svatopluk Doseděl, české']"
n436542,Majsebuch 2. aneb Kniha jidiš legend a příběhů -- jak ji roku 5362/1602 vydal v Basileji Jaakov bar Avraham - Jaakov bar Avraham,0,0,2006,184,,beletrie,Jaakov bar Avraham,české,"Majsebuch 2. aneb Kniha jidiš legend a příběhů kniha od autora Jaakov bar Avraham. Druhá část Majsebuchu, vrcholného díla dobového vypravěčského umění v jazyce jidiš, obsahuje...",139,236,"['beletrie', '', 'Jaakov bar Avraham, české']"
n436546,Moře v čase zatmění slunce - Dolenc Mate,0,0,2006,236,Dauphin,beletrie,Mate Dolenc,české,"Kniha Moře v čase zatmění slunce je vlastně Stařec a moře na Jadranu, můžete v ní však také objevit co se stane, když moc čtete anebo a především je poctou všem vypravěčům,...",167,214,"['beletrie', '', 'Dauphin, Mate Dolenc, české']"
